student_id,global_trait,alpha_k0,alpha_k1,alpha_k2,alpha_k3,alpha_k4,alpha_k5,alpha_k6,alpha_k7,alpha_k8,alpha_k9,alpha_k10,alpha_k11,alpha_k12,alpha_k13,alpha_k14,alpha_k15,alpha_k16,alpha_k17,alpha_k18,alpha_mean,alpha_sum,alpha_topk
10,-0.315026,0.421889,0.421889,0.421889,0.421889,0.421889,0.421889,0.421889,0.421889,0.421889,0.421889,0.421889,0.421889,0.421889,0.421889,0.421889,0.421889,0.421889,0.421889,0.421889,0.421889,8.015882,k18|k8|k1
11,-1.478552,0.185646,0.185646,0.185646,0.185646,0.185646,0.185646,0.185646,0.185646,0.185646,0.185646,0.185646,0.185646,0.185646,0.185646,0.185646,0.185646,0.185646,0.185646,0.185646,0.185646,3.527279,k18|k8|k1
12,0.357137,0.588347,0.588347,0.588347,0.588347,0.588347,0.588347,0.588347,0.588347,0.588347,0.588347,0.588347,0.588347,0.588347,0.588347,0.588347,0.588347,0.588347,0.588347,0.588347,0.588347,11.178596,k18|k8|k1
13,-0.388342,0.404117,0.404117,0.404117,0.404117,0.404117,0.404117,0.404117,0.404117,0.404117,0.404117,0.404117,0.404117,0.404117,0.404117,0.404117,0.404117,0.404117,0.404117,0.404117,0.404117,7.678215,k18|k8|k1
14,0.133846,0.533412,0.533412,0.533412,0.533412,0.533412,0.533412,0.533412,0.533412,0.533412,0.533412,0.533412,0.533412,0.533412,0.533412,0.533412,0.533412,0.533412,0.533412,0.533412,0.533412,10.134820,k18|k8|k1
15,1.100720,0.750395,0.750395,0.750395,0.750395,0.750395,0.750395,0.750395,0.750395,0.750395,0.750395,0.750395,0.750395,0.750395,0.750395,0.750395,0.750395,0.750395,0.750395,0.750395,0.750395,14.257504,k18|k8|k1
16,0.810733,0.692266,0.692266,0.692266,0.692266,0.692266,0.692266,0.692266,0.692266,0.692266,0.692266,0.692266,0.692266,0.692266,0.692266,0.692266,0.692266,0.692266,0.692266,0.692266,0.692266,13.153047,k18|k8|k1
17,0.713685,0.671215,0.671215,0.671215,0.671215,0.671215,0.671215,0.671215,0.671215,0.671215,0.671215,0.671215,0.671215,0.671215,0.671215,0.671215,0.671215,0.671215,0.671215,0.671215,0.671215,12.753082,k18|k8|k1
18,-1.552037,0.174792,0.174792,0.174792,0.174792,0.174792,0.174792,0.174792,0.174792,0.174792,0.174792,0.174792,0.174792,0.174792,0.174792,0.174792,0.174792,0.174792,0.174792,0.174792,0.174792,3.321053,k18|k8|k1
19,-1.999842,0.119220,0.119220,0.119220,0.119220,0.119220,0.119220,0.119220,0.119220,0.119220,0.119220,0.119220,0.119220,0.119220,0.119220,0.119220,0.119220,0.119220,0.119220,0.119220,0.119220,2.265171,k18|k8|k1
20,-0.849837,0.299467,0.299467,0.299467,0.299467,0.299467,0.299467,0.299467,0.299467,0.299467,0.299467,0.299467,0.299467,0.299467,0.299467,0.299467,0.299467,0.299467,0.299467,0.299467,0.299467,5.689873,k18|k8|k1
21,-0.193782,0.451706,0.451706,0.451706,0.451706,0.451706,0.451706,0.451706,0.451706,0.451706,0.451706,0.451706,0.451706,0.451706,0.451706,0.451706,0.451706,0.451706,0.451706,0.451706,0.451706,8.582406,k18|k8|k1
22,-1.916877,0.128210,0.128210,0.128210,0.128210,0.128210,0.128210,0.128210,0.128210,0.128210,0.128210,0.128210,0.128210,0.128210,0.128210,0.128210,0.128210,0.128210,0.128210,0.128210,0.128210,2.435995,k18|k8|k1
23,-1.088438,0.251913,0.251913,0.251913,0.251913,0.251913,0.251913,0.251913,0.251913,0.251913,0.251913,0.251913,0.251913,0.251913,0.251913,0.251913,0.251913,0.251913,0.251913,0.251913,0.251913,4.786339,k18|k8|k1
24,2.121289,0.892955,0.892955,0.892955,0.892955,0.892955,0.892955,0.892955,0.892955,0.892955,0.892955,0.892955,0.892955,0.892955,0.892955,0.892955,0.892955,0.892955,0.892955,0.892955,0.892955,16.966147,k18|k8|k1
25,-0.300623,0.425405,0.425405,0.425405,0.425405,0.425405,0.425405,0.425405,0.425405,0.425405,0.425405,0.425405,0.425405,0.425405,0.425405,0.425405,0.425405,0.425405,0.425405,0.425405,0.425405,8.082700,k18|k8|k1
26,0.502856,0.623130,0.623130,0.623130,0.623130,0.623130,0.623130,0.623130,0.623130,0.623130,0.623130,0.623130,0.623130,0.623130,0.623130,0.623130,0.623130,0.623130,0.623130,0.623130,0.623130,11.839476,k18|k8|k1
27,0.036706,0.509175,0.509175,0.509175,0.509175,0.509175,0.509175,0.509175,0.509175,0.509175,0.509175,0.509175,0.509175,0.509175,0.509175,0.509175,0.509175,0.509175,0.509175,0.509175,0.509175,9.674334,k18|k8|k1
28,1.071856,0.744950,0.744950,0.744950,0.744950,0.744950,0.744950,0.744950,0.744950,0.744950,0.744950,0.744950,0.744950,0.744950,0.744950,0.744950,0.744950,0.744950,0.744950,0.744950,0.744950,14.154047,k18|k8|k1
29,0.314907,0.578083,0.578083,0.578083,0.578083,0.578083,0.578083,0.578083,0.578083,0.578083,0.578083,0.578083,0.578083,0.578083,0.578083,0.578083,0.578083,0.578083,0.578083,0.578083,0.578083,10.983570,k18|k8|k1
30,0.682812,0.664366,0.664366,0.664366,0.664366,0.664366,0.664366,0.664366,0.664366,0.664366,0.664366,0.664366,0.664366,0.664366,0.664366,0.664366,0.664366,0.664366,0.664366,0.664366,0.664366,12.622956,k18|k8|k1
31,1.228603,0.773574,0.773574,0.773574,0.773574,0.773574,0.773574,0.773574,0.773574,0.773574,0.773574,0.773574,0.773574,0.773574,0.773574,0.773574,0.773574,0.773574,0.773574,0.773574,0.773574,14.697906,k18|k8|k1
32,0.047557,0.511887,0.511887,0.511887,0.511887,0.511887,0.511887,0.511887,0.511887,0.511887,0.511887,0.511887,0.511887,0.511887,0.511887,0.511887,0.511887,0.511887,0.511887,0.511887,0.511887,9.725856,k18|k8|k1
33,1.820867,0.860670,0.860670,0.860670,0.860670,0.860670,0.860670,0.860670,0.860670,0.860670,0.860670,0.860670,0.860670,0.860670,0.860670,0.860670,0.860670,0.860670,0.860670,0.860670,0.860670,16.352732,k18|k8|k1
34,-1.125780,0.244941,0.244941,0.244941,0.244941,0.244941,0.244941,0.244941,0.244941,0.244941,0.244941,0.244941,0.244941,0.244941,0.244941,0.244941,0.244941,0.244941,0.244941,0.244941,0.244941,4.653875,k18|k8|k1
35,0.223157,0.555559,0.555559,0.555559,0.555559,0.555559,0.555559,0.555559,0.555559,0.555559,0.555559,0.555559,0.555559,0.555559,0.555559,0.555559,0.555559,0.555559,0.555559,0.555559,0.555559,10.555619,k18|k8|k1
36,1.346774,0.793602,0.793602,0.793602,0.793602,0.793602,0.793602,0.793602,0.793602,0.793602,0.793602,0.793602,0.793602,0.793602,0.793602,0.793602,0.793602,0.793602,0.793602,0.793602,0.793602,15.078432,k18|k8|k1
37,0.293132,0.572763,0.572763,0.572763,0.572763,0.572763,0.572763,0.572763,0.572763,0.572763,0.572763,0.572763,0.572763,0.572763,0.572763,0.572763,0.572763,0.572763,0.572763,0.572763,0.572763,10.882491,k18|k8|k1
38,0.188436,0.546970,0.546970,0.546970,0.546970,0.546970,0.546970,0.546970,0.546970,0.546970,0.546970,0.546970,0.546970,0.546970,0.546970,0.546970,0.546970,0.546970,0.546970,0.546970,0.546970,10.392431,k18|k8|k1
39,2.531906,0.926349,0.926349,0.926349,0.926349,0.926349,0.926349,0.926349,0.926349,0.926349,0.926349,0.926349,0.926349,0.926349,0.926349,0.926349,0.926349,0.926349,0.926349,0.926349,0.926349,17.600622,k18|k8|k1
40,-0.504869,0.376397,0.376397,0.376397,0.376397,0.376397,0.376397,0.376397,0.376397,0.376397,0.376397,0.376397,0.376397,0.376397,0.376397,0.376397,0.376397,0.376397,0.376397,0.376397,0.376397,7.151544,k18|k8|k1
41,0.337234,0.583518,0.583518,0.583518,0.583518,0.583518,0.583518,0.583518,0.583518,0.583518,0.583518,0.583518,0.583518,0.583518,0.583518,0.583518,0.583518,0.583518,0.583518,0.583518,0.583518,11.086849,k18|k8|k1
42,0.194297,0.548422,0.548422,0.548422,0.548422,0.548422,0.548422,0.548422,0.548422,0.548422,0.548422,0.548422,0.548422,0.548422,0.548422,0.548422,0.548422,0.548422,0.548422,0.548422,0.548422,10.420019,k18|k8|k1
43,0.257922,0.564125,0.564125,0.564125,0.564125,0.564125,0.564125,0.564125,0.564125,0.564125,0.564125,0.564125,0.564125,0.564125,0.564125,0.564125,0.564125,0.564125,0.564125,0.564125,0.564125,10.718384,k18|k8|k1
44,0.136201,0.533998,0.533998,0.533998,0.533998,0.533998,0.533998,0.533998,0.533998,0.533998,0.533998,0.533998,0.533998,0.533998,0.533998,0.533998,0.533998,0.533998,0.533998,0.533998,0.533998,10.145958,k18|k8|k1
45,1.209694,0.770245,0.770245,0.770245,0.770245,0.770245,0.770245,0.770245,0.770245,0.770245,0.770245,0.770245,0.770245,0.770245,0.770245,0.770245,0.770245,0.770245,0.770245,0.770245,0.770245,14.634652,k18|k8|k1
46,0.258825,0.564348,0.564348,0.564348,0.564348,0.564348,0.564348,0.564348,0.564348,0.564348,0.564348,0.564348,0.564348,0.564348,0.564348,0.564348,0.564348,0.564348,0.564348,0.564348,0.564348,10.722603,k18|k8|k1
47,0.203326,0.550657,0.550657,0.550657,0.550657,0.550657,0.550657,0.550657,0.550657,0.550657,0.550657,0.550657,0.550657,0.550657,0.550657,0.550657,0.550657,0.550657,0.550657,0.550657,0.550657,10.462485,k18|k8|k1
48,-0.495289,0.378648,0.378648,0.378648,0.378648,0.378648,0.378648,0.378648,0.378648,0.378648,0.378648,0.378648,0.378648,0.378648,0.378648,0.378648,0.378648,0.378648,0.378648,0.378648,0.378648,7.194320,k18|k8|k1
49,0.915505,0.714125,0.714125,0.714125,0.714125,0.714125,0.714125,0.714125,0.714125,0.714125,0.714125,0.714125,0.714125,0.714125,0.714125,0.714125,0.714125,0.714125,0.714125,0.714125,0.714125,13.568383,k18|k8|k1
50,0.345604,0.585551,0.585551,0.585551,0.585551,0.585551,0.585551,0.585551,0.585551,0.585551,0.585551,0.585551,0.585551,0.585551,0.585551,0.585551,0.585551,0.585551,0.585551,0.585551,0.585551,11.125473,k18|k8|k1
51,0.594181,0.644324,0.644324,0.644324,0.644324,0.644324,0.644324,0.644324,0.644324,0.644324,0.644324,0.644324,0.644324,0.644324,0.644324,0.644324,0.644324,0.644324,0.644324,0.644324,0.644324,12.242152,k18|k8|k1
52,1.775625,0.855156,0.855156,0.855156,0.855156,0.855156,0.855156,0.855156,0.855156,0.855156,0.855156,0.855156,0.855156,0.855156,0.855156,0.855156,0.855156,0.855156,0.855156,0.855156,0.855156,16.247960,k18|k8|k1
53,0.364682,0.590173,0.590173,0.590173,0.590173,0.590173,0.590173,0.590173,0.590173,0.590173,0.590173,0.590173,0.590173,0.590173,0.590173,0.590173,0.590173,0.590173,0.590173,0.590173,0.590173,11.213293,k18|k8|k1
54,0.133946,0.533437,0.533437,0.533437,0.533437,0.533437,0.533437,0.533437,0.533437,0.533437,0.533437,0.533437,0.533437,0.533437,0.533437,0.533437,0.533437,0.533437,0.533437,0.533437,0.533437,10.135295,k18|k8|k1
55,0.349657,0.586535,0.586535,0.586535,0.586535,0.586535,0.586535,0.586535,0.586535,0.586535,0.586535,0.586535,0.586535,0.586535,0.586535,0.586535,0.586535,0.586535,0.586535,0.586535,0.586535,11.144156,k18|k8|k1
56,1.193835,0.767426,0.767426,0.767426,0.767426,0.767426,0.767426,0.767426,0.767426,0.767426,0.767426,0.767426,0.767426,0.767426,0.767426,0.767426,0.767426,0.767426,0.767426,0.767426,0.767426,14.581099,k18|k8|k1
57,1.452538,0.810389,0.810389,0.810389,0.810389,0.810389,0.810389,0.810389,0.810389,0.810389,0.810389,0.810389,0.810389,0.810389,0.810389,0.810389,0.810389,0.810389,0.810389,0.810389,0.810389,15.397386,k18|k8|k1
58,-0.390560,0.403582,0.403582,0.403582,0.403582,0.403582,0.403582,0.403582,0.403582,0.403582,0.403582,0.403582,0.403582,0.403582,0.403582,0.403582,0.403582,0.403582,0.403582,0.403582,0.403582,7.668067,k18|k8|k1
59,-1.479952,0.185435,0.185435,0.185435,0.185435,0.185435,0.185435,0.185435,0.185435,0.185435,0.185435,0.185435,0.185435,0.185435,0.185435,0.185435,0.185435,0.185435,0.185435,0.185435,0.185435,3.523257,k18|k8|k1
60,0.649240,0.656839,0.656839,0.656839,0.656839,0.656839,0.656839,0.656839,0.656839,0.656839,0.656839,0.656839,0.656839,0.656839,0.656839,0.656839,0.656839,0.656839,0.656839,0.656839,0.656839,12.479946,k18|k8|k1
61,0.503711,0.623331,0.623331,0.623331,0.623331,0.623331,0.623331,0.623331,0.623331,0.623331,0.623331,0.623331,0.623331,0.623331,0.623331,0.623331,0.623331,0.623331,0.623331,0.623331,0.623331,11.843291,k18|k8|k1
62,0.425680,0.604842,0.604842,0.604842,0.604842,0.604842,0.604842,0.604842,0.604842,0.604842,0.604842,0.604842,0.604842,0.604842,0.604842,0.604842,0.604842,0.604842,0.604842,0.604842,0.604842,11.491991,k18|k8|k1
63,0.752150,0.679647,0.679647,0.679647,0.679647,0.679647,0.679647,0.679647,0.679647,0.679647,0.679647,0.679647,0.679647,0.679647,0.679647,0.679647,0.679647,0.679647,0.679647,0.679647,0.679647,12.913292,k18|k8|k1
64,0.703834,0.669037,0.669037,0.669037,0.669037,0.669037,0.669037,0.669037,0.669037,0.669037,0.669037,0.669037,0.669037,0.669037,0.669037,0.669037,0.669037,0.669037,0.669037,0.669037,0.669037,12.711709,k18|k8|k1
65,0.471014,0.615624,0.615624,0.615624,0.615624,0.615624,0.615624,0.615624,0.615624,0.615624,0.615624,0.615624,0.615624,0.615624,0.615624,0.615624,0.615624,0.615624,0.615624,0.615624,0.615624,11.696852,k18|k8|k1
66,0.125193,0.531258,0.531258,0.531258,0.531258,0.531258,0.531258,0.531258,0.531258,0.531258,0.531258,0.531258,0.531258,0.531258,0.531258,0.531258,0.531258,0.531258,0.531258,0.531258,0.531258,10.093893,k18|k8|k1
67,0.265906,0.566088,0.566088,0.566088,0.566088,0.566088,0.566088,0.566088,0.566088,0.566088,0.566088,0.566088,0.566088,0.566088,0.566088,0.566088,0.566088,0.566088,0.566088,0.566088,0.566088,10.755664,k18|k8|k1
68,0.214775,0.553488,0.553488,0.553488,0.553488,0.553488,0.553488,0.553488,0.553488,0.553488,0.553488,0.553488,0.553488,0.553488,0.553488,0.553488,0.553488,0.553488,0.553488,0.553488,0.553488,10.516277,k18|k8|k1
69,0.533145,0.630216,0.630216,0.630216,0.630216,0.630216,0.630216,0.630216,0.630216,0.630216,0.630216,0.630216,0.630216,0.630216,0.630216,0.630216,0.630216,0.630216,0.630216,0.630216,0.630216,11.974112,k18|k8|k1
70,0.137823,0.534401,0.534401,0.534401,0.534401,0.534401,0.534401,0.534401,0.534401,0.534401,0.534401,0.534401,0.534401,0.534401,0.534401,0.534401,0.534401,0.534401,0.534401,0.534401,0.534401,10.153627,k18|k8|k1
71,0.309274,0.576708,0.576708,0.576708,0.576708,0.576708,0.576708,0.576708,0.576708,0.576708,0.576708,0.576708,0.576708,0.576708,0.576708,0.576708,0.576708,0.576708,0.576708,0.576708,0.576708,10.957451,k18|k8|k1
72,0.169360,0.542239,0.542239,0.542239,0.542239,0.542239,0.542239,0.542239,0.542239,0.542239,0.542239,0.542239,0.542239,0.542239,0.542239,0.542239,0.542239,0.542239,0.542239,0.542239,0.542239,10.302545,k18|k8|k1
73,0.377070,0.593166,0.593166,0.593166,0.593166,0.593166,0.593166,0.593166,0.593166,0.593166,0.593166,0.593166,0.593166,0.593166,0.593166,0.593166,0.593166,0.593166,0.593166,0.593166,0.593166,11.270161,k18|k8|k1
74,0.346077,0.585666,0.585666,0.585666,0.585666,0.585666,0.585666,0.585666,0.585666,0.585666,0.585666,0.585666,0.585666,0.585666,0.585666,0.585666,0.585666,0.585666,0.585666,0.585666,0.585666,11.127653,k18|k8|k1
75,1.363216,0.796282,0.796282,0.796282,0.796282,0.796282,0.796282,0.796282,0.796282,0.796282,0.796282,0.796282,0.796282,0.796282,0.796282,0.796282,0.796282,0.796282,0.796282,0.796282,0.796282,15.129356,k18|k8|k1
76,0.396115,0.597754,0.597754,0.597754,0.597754,0.597754,0.597754,0.597754,0.597754,0.597754,0.597754,0.597754,0.597754,0.597754,0.597754,0.597754,0.597754,0.597754,0.597754,0.597754,0.597754,11.357324,k18|k8|k1
77,-1.157683,0.239089,0.239089,0.239089,0.239089,0.239089,0.239089,0.239089,0.239089,0.239089,0.239089,0.239089,0.239089,0.239089,0.239089,0.239089,0.239089,0.239089,0.239089,0.239089,0.239089,4.542682,k18|k8|k1
78,0.909926,0.712985,0.712985,0.712985,0.712985,0.712985,0.712985,0.712985,0.712985,0.712985,0.712985,0.712985,0.712985,0.712985,0.712985,0.712985,0.712985,0.712985,0.712985,0.712985,0.712985,13.546713,k18|k8|k1
79,1.379808,0.798960,0.798960,0.798960,0.798960,0.798960,0.798960,0.798960,0.798960,0.798960,0.798960,0.798960,0.798960,0.798960,0.798960,0.798960,0.798960,0.798960,0.798960,0.798960,0.798960,15.180245,k18|k8|k1
80,0.936280,0.718348,0.718348,0.718348,0.718348,0.718348,0.718348,0.718348,0.718348,0.718348,0.718348,0.718348,0.718348,0.718348,0.718348,0.718348,0.718348,0.718348,0.718348,0.718348,0.718348,13.648607,k18|k8|k1
81,0.723440,0.673364,0.673364,0.673364,0.673364,0.673364,0.673364,0.673364,0.673364,0.673364,0.673364,0.673364,0.673364,0.673364,0.673364,0.673364,0.673364,0.673364,0.673364,0.673364,0.673364,12.793917,k18|k8|k1
82,0.461862,0.613456,0.613456,0.613456,0.613456,0.613456,0.613456,0.613456,0.613456,0.613456,0.613456,0.613456,0.613456,0.613456,0.613456,0.613456,0.613456,0.613456,0.613456,0.613456,0.613456,11.655659,k18|k8|k1
83,0.632044,0.652953,0.652953,0.652953,0.652953,0.652953,0.652953,0.652953,0.652953,0.652953,0.652953,0.652953,0.652953,0.652953,0.652953,0.652953,0.652953,0.652953,0.652953,0.652953,0.652953,12.406102,k18|k8|k1
84,0.644023,0.655662,0.655662,0.655662,0.655662,0.655662,0.655662,0.655662,0.655662,0.655662,0.655662,0.655662,0.655662,0.655662,0.655662,0.655662,0.655662,0.655662,0.655662,0.655662,0.655662,12.457586,k18|k8|k1
85,0.485268,0.618991,0.618991,0.618991,0.618991,0.618991,0.618991,0.618991,0.618991,0.618991,0.618991,0.618991,0.618991,0.618991,0.618991,0.618991,0.618991,0.618991,0.618991,0.618991,0.618991,11.760829,k18|k8|k1
86,0.975071,0.726129,0.726129,0.726129,0.726129,0.726129,0.726129,0.726129,0.726129,0.726129,0.726129,0.726129,0.726129,0.726129,0.726129,0.726129,0.726129,0.726129,0.726129,0.726129,0.726129,13.796453,k18|k8|k1
87,0.790059,0.687844,0.687844,0.687844,0.687844,0.687844,0.687844,0.687844,0.687844,0.687844,0.687844,0.687844,0.687844,0.687844,0.687844,0.687844,0.687844,0.687844,0.687844,0.687844,0.687844,13.069036,k18|k8|k1
88,0.952744,0.721667,0.721667,0.721667,0.721667,0.721667,0.721667,0.721667,0.721667,0.721667,0.721667,0.721667,0.721667,0.721667,0.721667,0.721667,0.721667,0.721667,0.721667,0.721667,0.721667,13.711668,k18|k8|k1
89,1.064656,0.743579,0.743579,0.743579,0.743579,0.743579,0.743579,0.743579,0.743579,0.743579,0.743579,0.743579,0.743579,0.743579,0.743579,0.743579,0.743579,0.743579,0.743579,0.743579,0.743579,14.128009,k18|k8|k1
90,-0.709362,0.329740,0.329740,0.329740,0.329740,0.329740,0.329740,0.329740,0.329740,0.329740,0.329740,0.329740,0.329740,0.329740,0.329740,0.329740,0.329740,0.329740,0.329740,0.329740,0.329740,6.265058,k18|k8|k1
91,1.142558,0.758149,0.758149,0.758149,0.758149,0.758149,0.758149,0.758149,0.758149,0.758149,0.758149,0.758149,0.758149,0.758149,0.758149,0.758149,0.758149,0.758149,0.758149,0.758149,0.758149,14.404828,k18|k8|k1
92,0.541469,0.632154,0.632154,0.632154,0.632154,0.632154,0.632154,0.632154,0.632154,0.632154,0.632154,0.632154,0.632154,0.632154,0.632154,0.632154,0.632154,0.632154,0.632154,0.632154,0.632154,12.010926,k18|k8|k1
93,0.778574,0.685373,0.685373,0.685373,0.685373,0.685373,0.685373,0.685373,0.685373,0.685373,0.685373,0.685373,0.685373,0.685373,0.685373,0.685373,0.685373,0.685373,0.685373,0.685373,0.685373,13.022081,k18|k8|k1
94,0.692253,0.666468,0.666468,0.666468,0.666468,0.666468,0.666468,0.666468,0.666468,0.666468,0.666468,0.666468,0.666468,0.666468,0.666468,0.666468,0.666468,0.666468,0.666468,0.666468,0.666468,12.662891,k18|k8|k1
95,-0.519127,0.373056,0.373056,0.373056,0.373056,0.373056,0.373056,0.373056,0.373056,0.373056,0.373056,0.373056,0.373056,0.373056,0.373056,0.373056,0.373056,0.373056,0.373056,0.373056,0.373056,7.088073,k18|k8|k1
